rank,personName,age,finalWorth,category,countryOfCitizenship,selfMade,gender,continent,Age Classification
1,Elon Musk,50,219000,Automotive,United States,TRUE,M,North America,middle age
2,Jeff Bezos,58,171000,Technology,United States,TRUE,M,North America,middle age
3,Bernard Arnault & family,73,158000,Fashion & Retail,France,FALSE,M,Europe,old age
4,Bill Gates,66,129000,Technology,United States,TRUE,M,North America,old age
5,Warren Buffett,91,118000,Finance & Investments,United States,TRUE,M,North America,old age
6,Larry Page,49,111000,Technology,United States,TRUE,M,North America,middle age
7,Sergey Brin,48,107000,Technology,United States,TRUE,M,North America,middle age
8,Larry Ellison,77,106000,Technology,United States,TRUE,M,North America,old age
9,Steve Ballmer,66,91400,Technology,United States,TRUE,M,North America,old age
10,Mukesh Ambani,64,90700,Diversified,India,FALSE,M,Asia,old age
11,Gautam Adani & family,59,90000,Diversified,India,TRUE,M,Asia,middle age
12,Michael Bloomberg,80,82000,Media & Entertainment,United States,TRUE,M,North America,old age
13,Carlos Slim Helu & family,82,81200,Telecom,Mexico,TRUE,M,North America,old age
14,Francoise Bettencourt Meyers & family,68,74800,Fashion & Retail,France,FALSE,F,Europe,old age
15,Mark Zuckerberg,37,67300,Technology,United States,TRUE,M,North America,youth
16,Jim Walton,73,66200,Fashion & Retail,United States,FALSE,M,North America,old age
17,Zhong Shanshan,67,65700,Food & Beverage,China,TRUE,M,Asia,old age
18,Alice Walton,72,65300,Fashion & Retail,United States,FALSE,F,North America,old age
19,Rob Walton,77,65000,Fashion & Retail,United States,FALSE,M,North America,old age
19,Changpeng Zhao,44,65000,Finance & Investments,Canada,TRUE,M,North America,youth
21,Charles Koch,86,60000,Diversified,United States,FALSE,M,North America,old age
21,Julia Koch & family,59,60000,Diversified,United States,FALSE,F,North America,middle age
23,Amancio Ortega,86,59600,Fashion & Retail,Spain,TRUE,M,Europe,old age
24,Michael Dell,57,55100,Technology,United States,TRUE,M,North America,middle age
25,Zhang Yiming,38,50000,Media & Entertainment,China,TRUE,M,Asia,youth
26,David Thomson & family,64,49200,Media & Entertainment,Canada,FALSE,M,North America,old age
27,Phil Knight & family,84,47300,Fashion & Retail,United States,TRUE,M,North America,old age
28,Dieter Schwarz,82,47100,Fashion & Retail,Germany,FALSE,M,Europe,old age
29,Robin Zeng,53,44800,Automotive,Hong Kong,TRUE,M,,middle age
30,MacKenzie Scott,51,43600,Technology,United States,FALSE,F,North America,middle age
31,Rodolphe Saadé & family,52,41400,Logistics,France,FALSE,M,Europe,middle age
32,François Pinault & family,85,40400,Fashion & Retail,France,TRUE,M,Europe,old age
33,Klaus-Michael Kuehne,84,37300,Logistics,Germany,FALSE,M,Europe,old age
34,Ma Huateng,50,37200,Technology,China,TRUE,M,Asia,middle age
